Data,Último,Máximo,Mínimo,Abertura,Volume
19/11/2010,"7.400,00","7.400,00","7.400,00","7.400,00","2,00K"
22/11/2010,"7.300,00","7.400,00","7.300,00","7.380,00","10,77K"
24/11/2010,"7.300,00","7.300,00","7.200,00","7.200,00","68,41K"
25/11/2010,"7.520,00","7.550,00","7.310,00","7.310,00","157,85K"
26/11/2010,"7.400,00","7.500,00","7.300,00","7.320,00","81,12K"
29/11/2010,"7.500,00","7.500,00","7.340,00","7.340,00","106,53K"
30/11/2010,"7.500,00","7.550,00","7.380,00","7.380,00","308,13K"
01/12/2010,"7.650,00","7.700,00","7.530,00","7.590,00","877,59K"
02/12/2010,"7.700,00","7.770,00","7.570,00","7.570,00","296,08K"
03/12/2010,"7.760,00","7.790,00","7.760,00","7.790,00","33,19K"
06/12/2010,"8.000,00","8.000,00","7.700,00","7.700,00","734,00K"
07/12/2010,"7.920,00","8.130,00","7.900,00","8.050,00","145,46K"
09/12/2010,"7.880,00","7.900,00","7.880,00","7.900,00","7,90K"
10/12/2010,"7.890,00","7.900,00","7.860,00","7.880,00","142,40K"
13/12/2010,"7.860,00","7.980,00","7.840,00","7.940,00","105,83K"
14/12/2010,"7.880,00","7.950,00","7.850,00","7.900,00","86,68K"
15/12/2010,"7.860,00","7.900,00","7.800,00","7.900,00","25,91K"
16/12/2010,"7.800,00","7.890,00","7.800,00","7.800,00","89,81K"
17/12/2010,"7.850,00","7.920,00","7.800,00","7.890,00","364,54K"
20/12/2010,"7.900,00","7.940,00","7.820,00","7.900,00","240,16K"
21/12/2010,"7.820,00","7.900,00","7.800,00","7.850,00","99,55K"
22/12/2010,"7.800,00","7.900,00","7.760,00","7.840,00","111,49K"
23/12/2010,"7.900,00","7.900,00","7.800,00","7.800,00","258,32K"
24/12/2010,"7.880,00","7.900,00","7.860,00","7.900,00","70,20K"
27/12/2010,"7.950,00","7.970,00","7.850,00","7.920,00","93,16K"
28/12/2010,"7.820,00","7.870,00","7.820,00","7.870,00","45,69K"
29/12/2010,"7.840,00","7.960,00","7.810,00","7.810,00","25,77K"
30/12/2010,"7.860,00","7.900,00","7.850,00","7.900,00","13,95K"
03/01/2011,"7.850,00","7.850,00","7.850,00","7.850,00","22,75K"
04/01/2011,"7.900,00","7.900,00","7.850,00","7.850,00","60,00K"
05/01/2011,"7.900,00","7.900,00","7.830,00","7.830,00","4,38K"
06/01/2011,"7.840,00","7.840,00","7.840,00","7.840,00","3,54K"
07/01/2011,"7.910,00","7.910,00","7.910,00","7.910,00","103,00"
11/01/2011,"7.740,00","7.800,00","7.740,00","7.800,00","10,76K"
12/01/2011,"7.800,00","7.800,00","7.750,00","7.750,00","12,95K"
13/01/2011,"7.760,00","7.900,00","7.740,00","7.750,00","8,60K"
14/01/2011,"7.750,00","7.760,00","7.740,00","7.760,00","19,98K"
17/01/2011,"7.700,00","7.700,00","7.700,00","7.700,00","5,23K"
18/01/2011,"7.640,00","7.660,00","7.600,00","7.600,00","94,44K"
19/01/2011,"7.400,00","7.520,00","7.400,00","7.500,00","73,37K"
20/01/2011,"7.400,00","7.400,00","7.320,00","7.400,00","10,61K"
21/01/2011,"7.400,00","7.400,00","7.380,00","7.400,00","12,37K"
24/01/2011,"7.410,00","7.460,00","7.410,00","7.420,00","13,47K"
25/01/2011,"7.400,00","7.600,00","7.400,00","7.500,00","26,76K"
26/01/2011,"7.430,00","7.480,00","7.400,00","7.480,00","30,62K"
27/01/2011,"7.300,00","7.500,00","7.300,00","7.500,00","224,18K"
28/01/2011,"7.360,00","7.360,00","7.360,00","7.360,00","1,25K"
31/01/2011,"7.300,00","7.340,00","7.300,00","7.300,00","92,93K"
01/02/2011,"7.250,00","7.400,00","7.250,00","7.400,00","51,79K"
02/02/2011,"7.100,00","7.500,00","7.100,00","7.500,00","59,91K"
03/02/2011,"7.200,00","7.220,00","7.000,00","7.020,00","25,15K"
04/02/2011,"7.200,00","7.100,00","7.100,00","7.100,00","40,52K"
07/02/2011,"7.050,00","7.100,00","7.050,00","7.100,00","109,41K"
08/02/2011,"7.050,00","7.100,00","7.000,00","7.100,00","51,80K"
09/02/2011,"7.050,00","7.100,00","7.000,00","7.000,00","970,19K"
10/02/2011,"7.000,00","7.050,00","7.000,00","7.050,00","12,02K"
11/02/2011,"6.810,00","6.950,00","6.810,00","6.900,00","176,28K"
14/02/2011,"6.890,00","6.920,00","6.850,00","6.900,00","9,90K"
15/02/2011,"6.710,00","6.850,00","6.710,00","6.850,00","241,97K"
16/02/2011,"6.700,00","6.740,00","6.650,00","6.650,00","274,85K"
17/02/2011,"6.600,00","6.700,00","6.600,00","6.700,00","535,57K"
18/02/2011,"6.620,00","6.620,00","6.580,00","6.600,00","39,30K"
21/02/2011,"6.680,00","6.680,00","6.660,00","6.660,00","16,01K"
22/02/2011,"6.880,00","6.880,00","6.680,00","6.680,00","19,00K"
23/02/2011,"6.760,00","6.770,00","6.700,00","6.710,00","288,60K"
24/02/2011,"6.500,00","6.700,00","6.500,00","6.700,00","421,82K"
25/02/2011,"6.750,00","6.790,00","6.690,00","6.690,00","296,48K"
28/02/2011,"6.900,00","6.920,00","6.760,00","6.880,00","371,77K"
01/03/2011,"6.990,00","6.990,00","6.890,00","6.970,00","119,62K"
02/03/2011,"7.060,00","7.070,00","6.990,00","7.000,00","264,71K"
03/03/2011,"7.000,00","7.200,00","7.000,00","7.100,00","357,72K"
04/03/2011,"6.990,00","7.020,00","6.950,00","7.020,00","96,19K"
07/03/2011,"7.000,00","7.000,00","6.990,00","7.000,00","200,07K"
08/03/2011,"6.900,00","6.980,00","6.900,00","6.980,00","360,89K"
09/03/2011,"6.900,00","6.960,00","6.850,00","6.910,00","93,80K"
10/03/2011,"6.620,00","6.750,00","6.620,00","6.750,00","18,98K"
14/03/2011,"6.860,00","6.860,00","6.610,00","6.610,00","21,41K"
15/03/2011,"6.600,00","6.650,00","6.600,00","6.630,00","20,59K"
16/03/2011,"6.420,00","6.650,00","6.420,00","6.600,00","73,43K"
17/03/2011,"6.640,00","6.640,00","6.510,00","6.600,00","68,85K"
18/03/2011,"6.630,00","6.630,00","6.600,00","6.600,00","35,54K"
22/03/2011,"6.870,00","6.870,00","6.870,00","6.870,00","14,60K"
23/03/2011,"6.800,00","6.800,00","6.800,00","6.800,00","1,59K"
24/03/2011,"6.620,00","6.800,00","6.620,00","6.800,00","11,59K"
25/03/2011,"6.600,00","6.630,00","6.540,00","6.630,00","148,32K"
28/03/2011,"6.540,00","6.540,00","6.540,00","6.540,00","1,04K"
29/03/2011,"6.360,00","6.510,00","6.360,00","6.510,00","162,37K"
30/03/2011,"6.400,00","6.400,00","6.300,00","6.300,00","17,20K"
31/03/2011,"6.390,00","6.400,00","6.300,00","6.400,00","8,28K"
01/04/2011,"6.240,00","6.300,00","6.100,00","6.100,00","19,29K"
04/04/2011,"6.200,00","6.200,00","6.060,00","6.060,00","40,98K"
05/04/2011,"6.440,00","6.440,00","6.200,00","6.200,00","27,73K"
06/04/2011,"6.400,00","6.400,00","6.250,00","6.250,00","219,21K"
07/04/2011,"6.400,00","6.420,00","6.200,00","6.200,00","128,14K"
08/04/2011,"6.300,00","6.400,00","6.160,00","6.160,00","24,25K"
11/04/2011,"6.500,00","6.500,00","6.470,00","6.470,00","99,84K"
12/04/2011,"6.300,00","6.500,00","6.270,00","6.280,00","102,12K"
13/04/2011,"6.440,00","6.460,00","6.390,00","6.390,00","184,10K"
14/04/2011,"6.300,00","6.300,00","6.300,00","6.300,00","1,49K"
18/04/2011,"6.490,00","6.490,00","6.310,00","6.310,00","5,18K"
19/04/2011,"6.310,00","6.310,00","6.300,00","6.310,00","4,50K"
20/04/2011,"6.400,00","6.400,00","6.300,00","6.310,00","10,70K"
25/04/2011,"6.350,00","6.350,00","6.300,00","6.350,00","63,49K"
26/04/2011,"6.440,00","6.460,00","6.220,00","6.220,00","251,64K"
27/04/2011,"6.450,00","6.440,00","6.420,00","6.440,00","294,36K"
28/04/2011,"6.530,00","6.600,00","6.500,00","6.500,00","338,21K"
29/04/2011,"6.640,00","6.640,00","6.540,00","6.540,00","142,01K"
02/05/2011,"6.600,00","6.650,00","6.560,00","6.650,00","8,52K"
03/05/2011,"6.640,00","6.640,00","6.450,00","6.460,00","133,34K"
04/05/2011,"6.500,00","6.700,00","6.450,00","6.460,00","44,26K"
05/05/2011,"6.450,00","6.540,00","6.450,00","6.500,00","36,18K"
06/05/2011,"6.430,00","6.450,00","6.420,00","6.420,00","6,13K"
09/05/2011,"6.400,00","6.410,00","6.400,00","6.400,00","17,81K"
10/05/2011,"6.450,00","6.450,00","6.160,00","6.210,00","90,68K"
11/05/2011,"6.440,00","6.440,00","6.440,00","6.440,00","14,84K"
12/05/2011,"6.400,00","6.400,00","6.350,00","6.350,00","107,41K"
13/05/2011,"6.400,00","6.400,00","6.400,00","6.400,00","81,75K"
16/05/2011,"6.300,00","6.350,00","6.300,00","6.350,00","23,10K"
17/05/2011,"6.350,00","6.350,00","6.320,00","6.320,00","14,02K"
02/06/2011,"6.330,00","6.400,00","6.330,00","6.400,00","20,60K"
03/06/2011,"6.490,00","6.490,00","6.250,00","6.300,00","34,49K"
07/06/2011,"6.500,00","6.550,00","6.400,00","6.460,00","48,95K"
08/06/2011,"6.300,00","6.550,00","6.300,00","6.550,00","38,97K"
09/06/2011,"6.490,00","6.490,00","6.300,00","6.300,00","13,35K"
14/06/2011,"6.300,00","6.300,00","6.300,00","6.300,00","48,06K"
15/06/2011,"6.200,00","6.320,00","6.200,00","6.320,00","145,05K"
16/06/2011,"6.200,00","6.250,00","6.200,00","6.250,00","31,52K"
17/06/2011,"6.200,00","6.210,00","6.200,00","6.210,00","6,10K"
20/06/2011,"6.280,00","6.280,00","6.280,00","6.280,00","15,97K"
21/06/2011,"6.230,00","6.300,00","6.230,00","6.260,00","36,59K"
22/06/2011,"6.360,00","6.360,00","6.360,00","6.360,00","5,30K"
23/06/2011,"6.270,00","6.270,00","6.230,00","6.270,00","10,28K"
28/06/2011,"6.280,00","6.290,00","6.280,00","6.290,00","41,02K"
29/06/2011,"6.270,00","6.270,00","6.270,00","6.270,00","3,38K"
30/06/2011,"6.200,00","6.230,00","6.200,00","6.230,00","40,87K"
01/07/2011,"6.200,00","6.200,00","6.200,00","6.200,00","7,65K"
05/07/2011,"6.020,00","6.150,00","6.020,00","6.150,00","107,74K"
06/07/2011,"6.000,00","6.000,00","6.000,00","6.000,00","15,00K"
13/07/2011,"5.900,00","5.900,00","5.900,00","5.900,00","9,71K"
14/07/2011,"5.890,00","6.000,00","5.890,00","6.000,00","60,59K"
15/07/2011,"5.900,00","5.900,00","5.900,00","5.900,00","6,67K"
18/07/2011,"5.900,00","5.900,00","5.900,00","5.900,00","11,99K"
19/07/2011,"6.000,00","6.000,00","6.000,00","6.000,00","11,74K"
21/07/2011,"6.100,00","6.100,00","5.860,00","5.860,00","38,79K"
22/07/2011,"6.100,00","6.100,00","6.000,00","6.000,00","1,02M"
25/07/2011,"6.000,00","6.100,00","6.000,00","6.100,00","17,18K"
26/07/2011,"6.080,00","6.080,00","6.050,00","6.050,00","7,10K"
27/07/2011,"5.980,00","5.980,00","5.980,00","5.980,00","4,75K"
28/07/2011,"6.000,00","6.000,00","6.000,00","6.000,00","11,79K"
29/07/2011,"5.870,00","5.870,00","5.870,00","5.870,00","3,10K"
01/08/2011,"5.870,00","5.870,00","5.870,00","5.870,00","2,54K"
02/08/2011,"5.870,00","5.950,00","5.870,00","5.950,00","83,82K"
03/08/2011,"5.790,00","5.790,00","5.790,00","5.790,00","4,75K"
04/08/2011,"5.700,00","5.700,00","5.600,00","5.600,00","44,83K"
08/08/2011,"5.900,00","5.900,00","5.900,00","5.900,00","184,62K"
09/08/2011,"6.000,00","6.000,00","5.900,00","5.900,00","111,28K"
10/08/2011,"6.000,00","6.000,00","6.000,00","6.000,00","2,76K"
11/08/2011,"6.050,00","6.050,00","6.000,00","6.000,00","18,61K"
12/08/2011,"6.100,00","6.100,00","6.100,00","6.100,00","29,04K"
17/08/2011,"5.920,00","5.930,00","5.920,00","5.930,00","38,78K"
22/08/2011,"6.000,00","6.000,00","6.000,00","6.000,00","13,33K"
23/08/2011,"5.900,00","5.950,00","5.900,00","5.950,00","199,21K"
24/08/2011,"5.980,00","5.980,00","5.980,00","5.980,00","2,50K"
26/08/2011,"5.930,00","5.930,00","5.770,00","5.820,00","52,02K"
30/08/2011,"6.000,00","6.000,00","5.800,00","5.960,00","26,07K"
31/08/2011,"6.040,00","6.040,00","5.910,00","5.990,00","50,19K"
01/09/2011,"6.040,00","6.040,00","6.000,00","6.000,00","55,67K"
02/09/2011,"5.920,00","6.000,00","5.920,00","6.000,00","59,20K"
05/09/2011,"5.930,00","5.930,00","5.930,00","5.930,00","20,00K"
06/09/2011,"5.930,00","5.930,00","5.930,00","5.930,00","8,05K"
07/09/2011,"5.930,00","5.930,00","5.930,00","5.930,00","11,67K"
08/09/2011,"5.930,00","5.930,00","5.910,00","5.910,00","41,69K"
14/09/2011,"5.840,00","5.910,00","5.840,00","5.910,00","15,53K"
16/09/2011,"5.840,00","5.850,00","5.800,00","5.850,00","56,54K"
28/09/2011,"5.800,00","5.800,00","5.610,00","5.610,00","434,60K"
30/09/2011,"6.030,00","6.030,00","5.760,00","5.760,00","112,23K"
03/10/2011,"6.000,00","6.000,00","5.800,00","5.800,00","31,39K"
04/10/2011,"5.900,00","5.930,00","5.900,00","5.930,00","33,00K"
05/10/2011,"5.890,00","5.890,00","5.680,00","5.680,00","9,45K"
06/10/2011,"5.800,00","5.800,00","5.800,00","5.800,00","51,88K"
13/10/2011,"5.800,00","5.800,00","5.800,00","5.800,00","172,54K"
14/10/2011,"5.700,00","5.700,00","5.700,00","5.700,00","9,42K"
25/10/2011,"5.640,00","5.640,00","5.560,00","5.560,00","12,08K"
26/10/2011,"5.540,00","5.560,00","5.540,00","5.560,00","11,00K"
27/10/2011,"5.650,00","5.650,00","5.400,00","5.400,00","15,85K"
28/10/2011,"5.630,00","5.630,00","5.430,00","5.430,00","61,79K"
31/10/2011,"5.700,00","5.700,00","5.430,00","5.430,00","140,50K"
02/11/2011,"5.650,00","5.650,00","5.520,00","5.520,00","17,07K"
03/11/2011,"5.600,00","5.600,00","5.600,00","5.600,00","28,10K"
11/11/2011,"5.490,00","5.490,00","5.290,00","5.300,00","35,05K"
16/11/2011,"5.360,00","5.360,00","5.360,00","5.360,00","20,54K"
17/11/2011,"5.310,00","5.310,00","5.300,00","5.300,00","13,52K"
18/11/2011,"5.390,00","5.390,00","5.330,00","5.330,00","20,00K"
21/11/2011,"5.280,00","5.280,00","5.190,00","5.190,00","22,43K"
22/11/2011,"5.250,00","5.250,00","5.100,00","5.100,00","112,50K"
23/11/2011,"5.200,00","5.200,00","4.950,00","5.100,00","55,41K"
24/11/2011,"5.100,00","5.100,00","4.980,00","5.000,00","70,40K"
25/11/2011,"5.010,00","5.100,00","5.000,00","5.000,00","57,15K"
28/11/2011,"4.950,00","5.060,00","4.950,00","5.020,00","56,89K"
29/11/2011,"4.950,00","4.950,00","4.950,00","4.950,00","13,29K"
30/11/2011,"5.000,00","5.050,00","5.000,00","5.000,00","26,67K"
01/12/2011,"5.030,00","5.030,00","4.910,00","4.980,00","144,43K"
02/12/2011,"5.030,00","5.030,00","5.030,00","5.030,00","6,94K"
05/12/2011,"5.070,00","5.070,00","4.960,00","4.960,00","5,28K"
07/12/2011,"5.000,00","5.000,00","5.000,00","5.000,00","9,65K"
09/12/2011,"5.050,00","5.050,00","5.050,00","5.050,00","8,09K"
12/12/2011,"5.050,00","5.050,00","4.940,00","5.000,00","30,96K"
13/12/2011,"4.990,00","5.000,00","4.940,00","5.000,00","161,77K"
14/12/2011,"4.990,00","4.990,00","4.990,00","4.990,00","8,22K"
15/12/2011,"4.950,00","4.950,00","4.950,00","4.950,00","6,21K"
16/12/2011,"5.000,00","5.090,00","5.000,00","5.060,00","86,10K"
20/12/2011,"5.000,00","5.000,00","5.000,00","5.000,00","6,05K"
21/12/2011,"5.090,00","5.090,00","5.080,00","5.080,00","19,48K"
22/12/2011,"5.000,00","5.000,00","5.000,00","5.000,00","17,18K"
23/12/2011,"4.810,00","4.980,00","4.810,00","4.980,00","31,55K"
02/01/2012,"4.975,00","4.975,00","4.975,00","4.975,00","3,00K"
11/01/2012,"4.995,00","4.995,00","4.805,00","4.805,00","29,73K"
12/01/2012,"4.950,00","4.950,00","4.825,00","4.825,00","13,62K"
17/01/2012,"4.880,00","4.880,00","4.880,00","4.880,00","34,15K"
18/01/2012,"4.805,00","4.830,00","4.805,00","4.830,00","48,94K"
19/01/2012,"4.790,00","4.800,00","4.700,00","4.800,00","78,67K"
20/01/2012,"4.750,00","4.750,00","4.750,00","4.750,00","425,00K"
23/01/2012,"4.720,00","4.750,00","4.720,00","4.750,00","19,12K"
24/01/2012,"4.795,00","4.795,00","4.700,00","4.700,00","13,38K"
25/01/2012,"4.980,00","4.980,00","4.800,00","4.800,00","71,54K"
26/01/2012,"5.300,00","5.370,00","5.000,00","5.000,00","151,41K"
27/01/2012,"5.270,00","5.270,00","5.180,00","5.180,00","33,07K"
30/01/2012,"5.120,00","5.130,00","5.120,00","5.130,00","27,95K"
31/01/2012,"5.210,00","5.210,00","5.210,00","5.210,00","41,39K"
01/02/2012,"5.130,00","5.140,00","5.070,00","5.140,00","22,00K"
02/02/2012,"5.100,00","5.100,00","5.090,00","5.090,00","52,38K"
03/02/2012,"5.090,00","5.090,00","5.070,00","5.070,00","13,87K"
06/02/2012,"5.100,00","5.100,00","5.060,00","5.090,00","42,73K"
07/02/2012,"5.100,00","5.100,00","5.100,00","5.100,00","32,72K"
08/02/2012,"5.120,00","5.180,00","5.100,00","5.180,00","50,67K"
09/02/2012,"5.200,00","5.200,00","5.100,00","5.100,00","62,43K"
10/02/2012,"5.280,00","5.280,00","5.170,00","5.200,00","15,43K"
13/02/2012,"5.300,00","5.300,00","5.290,00","5.290,00","24,28K"
14/02/2012,"5.400,00","5.500,00","5.300,00","5.400,00","98,56K"
15/02/2012,"5.400,00","5.420,00","5.400,00","5.400,00","72,42K"
17/02/2012,"5.400,00","5.490,00","5.400,00","5.490,00","58,30K"
20/02/2012,"5.370,00","5.370,00","5.310,00","5.350,00","22,53K"
21/02/2012,"5.350,00","5.350,00","5.290,00","5.300,00","35,37K"
24/02/2012,"5.400,00","5.400,00","5.300,00","5.300,00","68,25K"
27/02/2012,"5.370,00","5.370,00","5.210,00","5.330,00","119,22K"
28/02/2012,"5.350,00","5.350,00","5.200,00","5.230,00","67,98K"
29/02/2012,"5.390,00","5.390,00","5.200,00","5.200,00","72,99K"
01/03/2012,"5.290,00","5.360,00","5.200,00","5.230,00","39,45K"
06/03/2012,"5.200,00","5.200,00","5.200,00","5.200,00","16,78K"
07/03/2012,"5.170,00","5.170,00","5.000,00","5.120,00","32,03K"
08/03/2012,"5.100,00","5.100,00","5.100,00","5.100,00","15,59K"
09/03/2012,"5.110,00","5.110,00","5.050,00","5.100,00","22,68K"
12/03/2012,"5.100,00","5.100,00","5.010,00","5.010,00","17,00K"
13/03/2012,"5.050,00","5.070,00","5.000,00","5.070,00","64,84K"
14/03/2012,"5.000,00","5.010,00","5.000,00","5.010,00","40,40K"
15/03/2012,"4.955,00","4.955,00","4.885,00","4.910,00","34,45K"
16/03/2012,"4.900,00","5.000,00","4.900,00","4.990,00","714,70K"
21/03/2012,"4.950,00","4.950,00","4.950,00","4.950,00","11,90K"
22/03/2012,"4.895,00","4.900,00","4.895,00","4.900,00","122,80K"
23/03/2012,"4.910,00","4.915,00","4.905,00","4.905,00","155,72K"
26/03/2012,"4.910,00","4.940,00","4.905,00","4.910,00","19,18K"
27/03/2012,"4.905,00","4.945,00","4.905,00","4.945,00","27,03K"
28/03/2012,"4.905,00","4.910,00","4.905,00","4.910,00","23,42K"
29/03/2012,"4.950,00","4.950,00","4.905,00","4.910,00","96,52K"
30/03/2012,"4.910,00","4.950,00","4.910,00","4.950,00","35,35K"
03/04/2012,"4.985,00","4.985,00","4.910,00","4.910,00","153,28K"
04/04/2012,"4.900,00","4.900,00","4.900,00","4.900,00","4,11K"
09/04/2012,"4.905,00","4.905,00","4.900,00","4.900,00","14,19K"
10/04/2012,"4.900,00","4.900,00","4.900,00","4.900,00","6,81K"
11/04/2012,"4.900,00","4.900,00","4.900,00","4.900,00","12,86K"
13/04/2012,"4.900,00","4.900,00","4.900,00","4.900,00","22,11K"
16/04/2012,"4.895,00","4.895,00","4.895,00","4.895,00","21,00K"
17/04/2012,"4.805,00","4.880,00","4.800,00","4.825,00","44,97K"
18/04/2012,"4.820,00","4.820,00","4.805,00","4.805,00","22,46K"
19/04/2012,"4.795,00","4.800,00","4.795,00","4.800,00","35,73K"
20/04/2012,"4.775,00","4.800,00","4.775,00","4.775,00","46,73K"
23/04/2012,"4.720,00","4.720,00","4.710,00","4.710,00","25,65K"
24/04/2012,"4.895,00","4.895,00","4.785,00","4.785,00","151,52K"
25/04/2012,"4.880,00","4.890,00","4.850,00","4.890,00","137,49K"
26/04/2012,"4.910,00","4.910,00","4.880,00","4.890,00","114,21K"
27/04/2012,"4.885,00","4.915,00","4.885,00","4.910,00","92,24K"
30/04/2012,"4.830,00","4.830,00","4.830,00","4.830,00","12,11K"
02/05/2012,"4.840,00","4.850,00","4.830,00","4.830,00","150,89K"
03/05/2012,"4.840,00","4.840,00","4.835,00","4.840,00","63,38K"
04/05/2012,"4.780,00","4.830,00","4.780,00","4.830,00","51,14K"
08/05/2012,"4.840,00","4.840,00","4.775,00","4.775,00","34,38K"
10/05/2012,"4.750,00","4.750,00","4.710,00","4.720,00","61,30K"
11/05/2012,"4.710,00","4.750,00","4.710,00","4.750,00","86,35K"
14/05/2012,"4.765,00","4.765,00","4.700,00","4.710,00","54,25K"
15/05/2012,"4.770,00","4.780,00","4.765,00","4.765,00","433,26K"
16/05/2012,"4.780,00","4.780,00","4.700,00","4.700,00","182,95K"
17/05/2012,"4.725,00","4.725,00","4.705,00","4.705,00","25,69K"
18/05/2012,"4.730,00","4.750,00","4.725,00","4.725,00","99,60K"
23/05/2012,"4.750,00","4.770,00","4.755,00","4.770,00","254,24K"
24/05/2012,"4.775,00","4.775,00","4.710,00","4.710,00","29,01K"
25/05/2012,"4.785,00","4.785,00","4.750,00","4.750,00","78,76K"
28/05/2012,"4.790,00","4.790,00","4.720,00","4.720,00","49,10K"
30/05/2012,"4.785,00","4.785,00","4.700,00","4.705,00","146,76K"
31/05/2012,"4.730,00","4.800,00","4.720,00","4.775,00","354,64K"
01/06/2012,"4.730,00","4.730,00","4.730,00","4.730,00","10,74K"
04/06/2012,"4.720,00","4.720,00","4.720,00","4.720,00","15,35K"
05/06/2012,"4.705,00","4.705,00","4.700,00","4.700,00","34,05K"
06/06/2012,"4.620,00","4.620,00","4.620,00","4.620,00","8,21K"
07/06/2012,"4.690,00","4.690,00","4.690,00","4.690,00","12,00K"
08/06/2012,"4.690,00","4.700,00","4.690,00","4.700,00","59,98K"
12/06/2012,"4.690,00","4.690,00","4.650,00","4.650,00","23,87K"
13/06/2012,"4.685,00","4.685,00","4.620,00","4.620,00","15,43K"
14/06/2012,"4.695,00","4.695,00","4.615,00","4.615,00","32,07K"
15/06/2012,"4.685,00","4.685,00","4.600,00","4.600,00","24,93K"
19/06/2012,"4.600,00","4.660,00","4.600,00","4.660,00","16,82K"
